Riesling,legally_alcohol,alcohol_extremely,extremely_delicate,delicate_extremely,extremely_sweet,sweet_litchi,litchi_quince,quince_preserves,preserves_marzipan,marzipan_borderline,borderline_overripe,overripe_persian,persian_melon,melon_inform,inform_soothing,soot,,,,,,,
Cabernet_Franc,blend_full,full_ruby-red,ruby-red_pure,pure_aromas,aromas_black,black_raspberry,raspberry_blueberry,blueberry_licorice,licorice_violet,violet_graphite,graphite_plush,plush_sweet,sweet_real,real_energy,energy_inner-mouth,inner-mouth_floral,floral_lift,lift,,,,,
Cabernet_Franc,blended_good,good_full,full_red,red_aromas,aromas_black,black_cherry,cherry_redcurrant,redcurrant_tobacco,tobacco_mocha,mocha_supple,supple_sweet,sweet_mouth,mouth_dark,dark_berry,berry_licorice,licorice_flavors,flavors_little,little_herbal,herbal_charact,,,,
Cabernet_Franc,edmunds_edmunds,edmunds_alcohol,alcohol_vivid,vivid_red,red_highly,highly_expressive,expressive_bouquet,bouquet_evokes,evokes_fresh,fresh_red,red_berries,berries_rose,rose_anise,anise_dark,dark_chocolate,chocolate_juicy,juicy_precise,precise_good,good_lif,,,,
Cabernet_Franc,smart_buys,buys_solid,solid_muscular,muscular_style,style_gutsy,gutsy_structure,structure_pumping,pumping_along,along_underneath,underneath_blackberry,blackberry_black,black_currant,currant_roasted,roasted_tobacco,tobacco_leaf,leaf_notes,notes_broad,broad,,,,,
Cabernet_Franc,cellar_selection,selection_new,new_oak,oak_strong,strong_fruit,fruit_suggests,suggests_red,red_cherries,cherries_blackberries,blackberries_ripe,ripe_juice,juice_runs,runs_chin,chin_wood,wood_fruit,fruit_haven,haven_come,come_together,together_slugging,slu,,,
Cabernet_Franc,stars_leading,leading_intense,intense_blackberry,blackberry_plum,plum_coffee,coffee_aromas,aromas_ripe,ripe_well-balanced,well-balanced_surprises,surprises_almost,almost_structure,structure_showing,showing_typical,typical_toughness,toughness_finish,finish,,,,,,,
Cabernet_Franc,cellar_selection,selection_along,along_top,top_cuv_es,cuv_es_joguet,joguet_range,range_fine,fine_expression,expression_perfumes,perfumes_smoky,smoky_character,character_intense,intense_black,black_currant,currant_fruits,fruits_concentrated,concentrated_ti,,,,,,
Cabernet_Franc,cellar_selection,selection_easy,easy_make,make_tasty,tasty_almost,almost_anywhere,anywhere_difficult,difficult_make,make_great,great_pride,pride_succeeds,succeeds_latter,latter_mountain,mountain_grapes,grapes_concentrate,concentrate_flavors,flavors_lush,l,,,,,
Cabernet_Franc,cellar_selection,selection_unlike,unlike_heavily,heavily_oaked,oaked_cuv_e,cuv_e_crescendo,crescendo_relies,relies_much,much_ripe,ripe_black,black_fruits,fruits_open,open_tannins,tannins_certainly,certainly_power,power_broad,broad_opulent,opulent_characte,,,,,
Cabernet_Franc,points_medium-deep,medium-deep_ruby-purple,ruby-purple_color,color_hawke,hawke_bay,bay_little,little_closed,closed_offering,offering_delicate,delicate_moderately,moderately_pronounced,pronounced_notes,notes_red,red_currants,currants_red,red_cherries,cherr,,,,,,
Cabernet_Franc,lovely_one,one_best,best_market,market_shows,shows_classic,classic_pride,pride_mountain,mountain_characteristics,characteristics_ripeness,ripeness_balance,balance_immediate,immediate_drinkability,drinkability_although,although_will,will_take,take_cellar,c,,,,,,
Cabernet_Franc,lovely_one,one_best,best_market,market_shows,shows_classic,classic_pride,pride_mountain,mountain_characteristics,characteristics_ripeness,ripeness_balance,balance_immediate,immediate_drinkability,drinkability_although,although_will,will_take,take_cellar,c,,,,,,
Cabernet_Franc,muscular_effort,effort_core,core_chewy,chewy_dark,dark_berry,berry_black,black_licorice,licorice_dried,dried_herb,herb_cedar,cedar_pulls,pulls_together,together_finish,finish_focus,focus_tighter,tighter_showing,showing_tannic,tannic_strength,strength_drin,,,,
Cabernet_Franc,nice_core,core_dark,dark_currant,currant_fig,fig_paste,paste_layered,layered_tangy,tangy_iron,iron_olive,olive_cigar,cigar_smoke,smoke_notes,notes_hint,hint_sweet,sweet_mulled,mulled_spice,spice_finish,finish_shows,shows_well-integrated,well-integrated_st,,,
Cabernet_Franc,ripe_bramble-wood,bramble-wood_note,note_dusty,dusty_minerality,minerality_shades,shades_complexity,complexity_ripe,ripe_richly,richly_concentrated,concentrated_dry,dry_full,full_bodied,bodied_lush,lush_ripe,ripe_tannins,tannins_finishes,finishes_deliciou,,,,,,
Cabernet_Franc,soft_sparkler,sparkler_featuring,featuring_cherry,cherry_peach,peach_strawberry,strawberry_notes,notes_pillowy,pillowy_finish,finish_drink,drink_tiny,tiny_long-lasting,long-lasting_bubbles,bubbles_deligeroy,deligeroy_cremant,cremant_ros_,ros__lovely,lovel,,,,,,
Cabernet_Franc,soft_ripe,ripe_lighter,lighter_style,style_featuring,featuring_pretty,pretty_plum,plum_cherry,cherry_cedar,cedar_flavors,flavors_moderate,moderate_depth,depth_intensity,intensity_tannic,tannic_drink,,,,,,,,,
Cabernet_Franc,structured_tannins,tannins_wood,wood_aging,aging_well,well_rich,rich_blackberry,blackberry_fruit,fruit_fruit,fruit_structural,structural_intensity,intensity_layering,layering_spice,spice_juiciness,juiciness_atop,atop_dry,dry_core,core_fruit,fruit_pins,pin,,,,
Cabernet_Franc,pretty_varietal,varietal_notes,notes_strawberry,strawberry_cherry,cherry_jalapeno,jalapeno_pepper,pepper_palate,palate_full,full_luscious,luscious_candied,candied_red,red_fruit,fruit_flavors,flavors_lead,lead_spice-filled,spice-filled_finish,finish_like,l,,,,,
Cabernet_Franc,refined_tannins,tannins_pretty,pretty_fruit,fruit_tannin,tannin_acid,acid_balance,balance_medium,medium_ful,ful_bodied,bodied_plus,plus_beautiful,beautiful_finish,finish_drink,drink_delicious,delicious_red,red_dry,dry_farmed,farmed_loncomilla,loncomilla_s,,,,
Cabernet_Franc,almost_jet-black,jet-black_glass,glass_rougeard,rougeard_saumur-champigny,saumur-champigny_bourg,bourg_clay-rich,clay-rich_chalk,chalk_tasted,tasted_new,new_one-year,one-year_barriques,barriques_firm,firm_initially,initially_almost,almost_inscrutably,insc,,,,,,,
Cabernet_Franc,assembled_returned,returned_barrel,barrel_will,will_unfiltered,unfiltered_joguet,joguet_chene,chene_vert,vert_dramatically,dramatically_steep,steep_right-bank,right-bank_site,site_just,just_outside,outside_far,far_neore,neore_mingles,mingles_aromas,aromas,,,,,
Cabernet_Franc,best_ever,ever_incredible,incredible_concentration,concentration_fruit,fruit_yet,yet_racy,racy_balanced,balanced_palate,palate_crazy,crazy_like,like_chocolate,chocolate_olive,olive_oil,oil_cake,cake_beautiful,beautiful_fruit,fruit_dark,dark_berries,berrie,,,,
Cabernet_Franc,bret_che,che_higher,higher_galichets,galichets_recommended,recommended_soils,soils_layering,layering_clay,clay_limestone,limestone_tuffeau,tuffeau_caslot,caslot_ferments,ferments_without,without_added,added_yeast,yeast_ages,ages_oak,oak_casks,casks_ambiti,,,,,
Cabernet_Franc,bright_full,full_ruby-red,ruby-red_brooding,brooding_aromas,aromas_black,black_cherry,cherry_licorice,licorice_bitter,bitter_chocolate,chocolate_complicated,complicated_graphite,graphite_minerality,minerality_black,black_olive,olive_lusher,lusher_texture,,,,,,,
Cabernet_Franc,bright_purple,purple_pungent,pungent_aromas,aromas_blackberry,blackberry_cherry,cherry_dried,dried_flowers,flowers_graphite,graphite_pure,pure_juicy,juicy_tight,tight_side,side_currently,currently_showing,showing_vibrancy,vibrancy_sweetness,sweetness_fles,,,,,,
Cabernet_Franc,bright_ruby-red,ruby-red_aromatic,aromatic_nose,nose_combines,combines_black,black_fruits,fruits_licorice,licorice_violet,violet_wild,wild_herbs,herbs_graphite,graphite_densely,densely_packed,packed_juicy,juicy_nicely,nicely_integrated,integrated_acidity,,,,,,
Cabernet_Franc,bright_deep,deep_ruby,ruby_pungent,pungent_aromas,aromas_blackberry,blackberry_blueberry,blueberry_violet,violet_spices,spices_graphite,graphite_minerality,minerality_lifted,lifted_spices,spices_superripe,superripe_sweet,sweet_top,top_maintaining,maintain,,,,,,
Cabernet_Franc,seems_well,well_adapted,adapted_soils,soils_macchiole,macchiole_impossible,impossible_separate,separate_grape,grape_mix,mix_limestone,limestone_chalk,chalk_rocks,rocks_sand,sand_clay,clay_seamlessly,seamlessly_combines,combines_savory,savory_ferrous,ferro,,,,,
Cabernet_Franc,chalky_feel,feel_core,core_mulled,mulled_plum,plum_cherry,cherry_smoldering,smoldering_tobacco,tobacco_leaf,leaf_notes,notes_olive,olive_singed,singed_balsa,balsa_wood,wood_accents,accents_dance,dance_background,background_bernard,bernard_baudry,baudry_st,,,,
Cabernet_Franc,cherry_sage,sage_tobacco,tobacco_main,main_themes,themes_moderately,moderately_structured,structured_red,red_juicy,juicy_acidity,acidity_dry,dry_tannins,tannins_finish,finish_direct,direct_just,just_adolescent,adolescent_chewy,chewy_deep,deep_almost,almos,,,,
Cabernet_Franc,caresses_palate,palate_chocolate,chocolate_cinnamon,cinnamon_plums,plums_ripe,ripe_black,black_cherries,cherries_another,another_deep,deep_expressive,expressive_endowed,endowed_considerable,considerable_richness,richness_yet,yet_remaining,remaining_mid-we,,,,,,,
Cabernet_Franc,concentrated_fruity,fruity_black,black_currant,currant_fruit,fruit_smoothed,smoothed_wood,wood_aging,aging_great,great_spice,spice_juicy,juicy_acidity,acidity_good,good_depth,depth_flavor,flavor_certainly,certainly_worth,worth_aging,aging_bright,bright_fr,,,,
Cabernet_Franc,conn_creek,creek_fine,fine_track,track_record,record_continues,continues_haven,haven_raised,raised_price,price_soft,soft_attractive,attractive_cherry,cherry_red,red_currant,currant_toasty,toasty_vanilla,vanilla_flavors,flavors_decadent,decadent_edge,edge_,,,,
Cabernet_Franc,cos_estournel,estournel_softened,softened_austere,austere_saint-est,saint-est_phe,phe_tannins,tannins_opulence,opulence_roundness,roundness_tannins,tannins_certainly,certainly_come,come_big,big_bold,bold_richness,richness_power,power_suggests,suggests_wil,,,,,,
Cabernet_Franc,dark_fleshy,fleshy_toasty,toasty_edge,edge_coffee,coffee_fig,fig_mulled,mulled_black,black_cherry,cherry_fruit,fruit_laid,laid_nicely,nicely_dark,dark_olive,olive_tobacco,tobacco_notes,notes_dark,dark_profile,profile_stays,stays_driven,driven_finish,finis,,
Cabernet_Franc,dark_color,color_smells,smells_great,great_cassis,cassis_plum,plum_black,black_cherry,cherry_aromas,aromas_bearing,bearing_little,little_herbal,herbal_character,character_feels,feels_tight,tight_secure,secure_ripe,ripe_blackberry,blackberry_tobacco,tobacc,,,,
Cabernet_Franc,dark_red,red_cherries,cherries_plums,plums_mint,mint_sweet,sweet_spices,spices_herbs,herbs_juniper,juniper_berries,berries_meld,meld_together,together_red,red_blend,blend_labor,labor_love,love_espresso,espresso_menthol,menthol_tar,tar_licorice,licorice_no,,,
Cabernet_Franc,dark_ruby,ruby_wild,wild_aromas,aromas_raspberry,raspberry_mocha,mocha_pistachio,pistachio_supple,supple_attack,attack_showing,showing_restrained,restrained_sweetness,sweetness_flavors,flavors_red,red_fruits,fruits_graphite,graphite_vanilla,vanilla_tannin,,,,,,
Cabernet_Franc,dark_dense,dense_ruby,ruby_brooding,brooding_aromas,aromas_black,black_cherry,cherry_mint,mint_licorice,licorice_tar,tar_supple,supple_pliant,pliant_discreetly,discreetly_sweet,sweet_palate,palate_good,good_depth,depth_verve,verve_boysenberry,boysenberry_,,,,
Cabernet_Franc,deep_red-ruby,red-ruby_brooding,brooding_aromas,aromas_blackberry,blackberry_cherry,cherry_licorice,licorice_leather,leather_mint,mint_plus,plus_whiff,whiff_tobacco,tobacco_leaf,leaf_juicy,juicy_intense,intense_sharply,sharply_delineated,delineated_entici,,,,,,
Cabernet_Franc,deep_ruby,ruby_black,black_core,core_seductive,seductive_perfume,perfume_baked,baked_plum,plum_hazelnut,hazelnut_incense,incense_velvety,velvety_texture,texture_quite,quite_expansive,expansive_clearly,clearly_product,product_warm,warm_offering,offering_ri,,,,,
Cabernet_Franc,deep_rich,rich_concentrated,concentrated_pure,pure_currant,currant_vanilla,vanilla_bean,bean_black,black_cherry,cherry_spicy,spicy_oak,oak_loamy,loamy_earth,earth_flavors,flavors_compelling,compelling_persistent,persistent_ends,ends_long,long_layered,laye,,,,
Cabernet_Franc,delicate_scents,scents_heather,heather_elegant,elegant_citrus,citrus_notes,notes_carry,carry_kiss,kiss_sweetness,sweetness_flavors,flavors_withheld,withheld_finish,finish_quiet,quiet_pretty,pretty_focused,focused_mineral,mineral_floral,floral_notes,notes_,,,,,
Cabernet_Franc,even_better,better_danae,danae_older,older_possesses,possesses_concentration,concentration_denser,denser_purple,purple_color,color_blueberry,blueberry_black,black_raspberry,raspberry_fruit,fruit_notes,notes_intermixed,intermixed_notions,notions_flowers,fl,,,,,,
Cabernet_Franc,features_dark,dark_olive,olive_singed,singed_juniper,juniper_notes,notes_around,around_core,core_black,black_cherry,cherry_plum,plum_fruit,fruit_light,light_charcoal,charcoal_hint,hint_holds,holds_finish,finish_though,though_structure,structure_modest,mod,,,
Cabernet_Franc,fermented_ancient,ancient_chalk,chalk_tuffeau,tuffeau_vat,vat_tuf,tuf_crimson-colored,crimson-colored_delicious,delicious_spicy,spicy_greenish,greenish_shimmery,shimmery_initial,initial_aroma,aroma_filled,filled_pencil-sharpener,pencil-sharpener_leisurely,,,,,,,,
Cabernet_Franc,finding_place,place_somewhere,somewhere_slightly,slightly_polished,polished_precursor,precursor_stiffly,stiffly_structured,structured_year-younger,year-younger_sibling,sibling_substantial,substantial_fruit-focused,fruit-focused_effort,effort_gets,gets_nic,,,,,,,,,
Cabernet_Franc,firm_texture,texture_grip,grip_tannins,tannins_pushing,pushing_dark,dark_berry,berry_floral,floral_red,red_pepper,pepper_flavors,flavors_forward,forward_long,long_expressive,expressive_finish,finish_best,best_primarily,primarily_sourced,sourced_weinbau,we,,,,
Cabernet_Franc,firm_nice,nice_structured,structured_edge,edge_black,black_cherry,cherry_olive,olive_tobacco,tobacco_iron,iron_notes,notes_solid,solid_length,length_finish,,,,,,,,,,,
Cabernet_Franc,fragrant_tobacco,tobacco_black,black_currant,currant_spice,spice_aromas,aromas_lead,lead_young,young_fruity,fruity_soft,soft_tannins,tannins_great,great_juicy,juicy_fruit,fruit_lively,lively_acidity,acidity_texture,texture_stalky,stalky_likely,likely_roun,,,,
Cabernet_Franc,fresh_vital,vital_vibrant,vibrant_offering,offering_exuberant,exuberant_mouthful,mouthful_blackberry,blackberry_black,black_cherry,cherry_chai,chai_tea,tea_floral,floral_flavors,flavors_come,come_together,together_seamlessly,seamlessly_refined,refined_tan,,,,,,
Cabernet_Franc,old_rocky,rocky_clay-rich,clay-rich_site,site_tasted,tasted_barrel,barrel_bretons,bretons_bourgueil,bourgueil_perrieres,perrieres_exudes,exudes_sweet,sweet_musky,musky_perfume,perfume_peony,peony_heliotrope,heliotrope_narcissus,narcissus_black,black_raspb,,,,,,
Cabernet_Franc,selection_old,old_vinified,vinified_entrirely,entrirely_without,without_sulfur,sulfur_bourgueil,bourgueil_nuits,nuits_ivresse,ivresse_drunken,drunken_nights,nights_tasted,tasted_post-assemblage,post-assemblage_will,will_remain,remain_autumn,autumn_offers,,,,,,,
Cabernet_Franc,breezy_upper,upper_just,just_forest,forest_typically,typically_last,last_raised,raised_wooden,wooden_uprights,uprights_seasoned,seasoned_barriques,barriques_bourgueil,bourgueil_butte,butte_will,will_offer,offer_lot,lot_pleasure,pleasure_next,next_last,las,,,,
Cabernet_Franc,glass-staining_ruby,ruby_complex,complex_seductively,seductively_perfumed,perfumed_aromas,aromas_cherry,cherry_cassis,cassis_pipe,pipe_tobacco,tobacco_potpourri,potpourri_along,along_smoky,smoky_topnote,topnote_juicy,juicy_spicy,spicy_penetrating,penetrat,,,,,,
Cabernet_Franc,good_bright,bright_ruby,ruby_vibrant,vibrant_aromas,aromas_blackberry,blackberry_coffee,coffee_smoke,smoke_violet,violet_fat,fat_sweet,sweet_juicy,juicy_palate-saturating,palate-saturating_flavors,flavors_sweet,sweet_dark,dark_berries,berries_violet,viole,,,,,
Cabernet_Franc,good_full,full_red,red_aromas,aromas_black,black_cherry,cherry_redcurrant,redcurrant_tobacco,tobacco_mocha,mocha_supple,supple_sweet,sweet_mouth,mouth_dark,dark_berry,berry_licorice,licorice_flavors,flavors_little,little_herbal,herbal_character,character_,,,,
Cabernet_Franc,great_structure,structure_contains,contains_drops,drops_strengthen,strengthen_still,still_little,little_thin,thin_cherry,cherry_red,red_currant,currant_oak,oak_flavors,flavors_trailing,trailing_polished,polished_elegant,elegant_sh,,,,,,,
Cabernet_Franc,clay_white,white_limestone,limestone_ferments,ferments_days,days_wooden,wooden_vats,vats_significantly,significantly_longer,longer_baudry,baudry_cuv_es,cuv_es_ages,ages_oak,oak_new,new_site,site_careful,careful_vinification,vinification_come,come_together,,,,,
Cabernet_Franc,tasted_least,least_times,times_last,last_clearly,clearly_classic,classic_can,can_little,little_austere,austere_thin,thin_though,though_gorgeous,gorgeous_pure,pure_bright,bright_fruit,fruit_showed,showed_aromas,aromas_dried,dried_cherries,cherries_mushroom,,,,
Cabernet_Franc,loved_penetrating,penetrating_aromatics,aromatics_floral,floral_blueberry,blueberry_menthol,menthol_notes,notes_deep,deep_ruby,ruby_purple-colored,purple-colored_blend,blend_actually,actually_flamboyant,flamboyant_fragrance,fragrance_jumps,jumps_glass,gla,,,,,,,
Cabernet_Franc,loved_penetrating,penetrating_aromatics,aromatics_floral,floral_blueberry,blueberry_menthol,menthol_notes,notes_deep,deep_ruby,ruby_purple-colored,purple-colored_blend,blend_actually,actually_flamboyant,flamboyant_fragrance,fragrance_jumps,jumps_glass,gla,,,,,,,
Cabernet_Franc,impressive_ripeness,ripeness_still,still_despite,despite_age,age_solid,solid_core,core_black,black_currant,currant_prune,prune_bittersweet,bittersweet_chocolate,chocolate_shows,shows_tobacco,tobacco_sanguine,sanguine_spice,spice_notes,notes_back,back_end,,,,,
Cabernet_Franc,impressively_saturated,saturated_ruby-red,ruby-red_color,color_complex,complex_aromas,aromas_black,black_raspberry,raspberry_valrhona,valrhona_chocolate,chocolate_smoke,smoke_gunflint,gunflint_tactile,tactile_quite,quite_concentrated,concentrated_really,r,,,,,,,
Cabernet_Franc,impressively_saturated,saturated_ruby-red,ruby-red_color,color_complex,complex_aromas,aromas_black,black_raspberry,raspberry_valrhona,valrhona_chocolate,chocolate_smoke,smoke_gunflint,gunflint_tactile,tactile_quite,quite_concentrated,concentrated_really,r,,,,,,,
Cabernet_Franc,lieu_dit,dit_readers,readers_appreciate,appreciate_cooler,cooler_vegetal,vegetal_side,side_savory,savory_herbs,herbs_graphite,graphite_crushed,crushed_rocks,rocks_blackberries,blackberries_take,take_shape,shape_glass,glass_even,even_adventurous,adventurou,,,,,
Cabernet_Franc,flesh_muscle,muscle_dark,dark_winy,winy_cherry,cherry_black,black_currant,currant_plum,plum_fruit,fruit_intertwined,intertwined_tobacco,tobacco_mineral,mineral_briar,briar_flavors,flavors_crisp,crisp_fresh,fresh_acidity,acidity_carries,carries_finish,fini,,,,
Cabernet_Franc,love_nose,nose_dark,dark_fruits,fruits_cigar,cigar_tobacco,tobacco_nose,nose_hints,hints_milk,milk_chocolate,chocolate_full,full_bodied,bodied_velvety,velvety_tannins,tannins_long,long_long,long_finish,finish_beautiful,beautiful_indeed,indeed_decadent,dec,,,
Cabernet_Franc,lovely_smoke,smoke_nose,nose_along,along_black,black_cherry,cherry_blackberry,blackberry_fruit,fruit_flavors,flavors_ripe,ripe_fleshy,fleshy_finish,finish_mineral,mineral_tobacco,tobacco_notes,notes_chime,,,,,,,,
Cabernet_Franc,marked_stalky,stalky_tobacco,tobacco_green,green_herb,herb_accents,accents_enough,enough_currant,currant_cedary,cedary_oak,oak_flavors,flavors_come,come_play,play_keep,keep_balancing,balancing_act,,,,,,,,
Cabernet_Franc,mature_softening,softening_blackberry,blackberry_cassis,cassis_fruit,fruit_caressed,caressed_elegant,elegant_spice,spice_toast,toast_mineral,mineral_notes,notes_plush,plush_smoky,smoky_finish,finish_allows,allows_fruit,fruit_toast,toast_mingle,mingle_nice,,,,,
Cabernet_Franc,medium_red,red_aromatic,aromatic_nose,nose_combines,combines_sour,sour_cherry,cherry_dried,dried_flowers,flowers_herbs,herbs_graphite,graphite_spicy,spicy_subtly,subtly_sweet,sweet_firm,firm_acidity,acidity_giving,giving_sour,sour_cherry,cherry_fruit,frui,,,
Cabernet_Franc,moving_away,away_efforts,efforts_up-front,up-front_perfumed,perfumed_blends,blends_just,just_ahead,ahead_widowmaker,widowmaker_flying,flying_pig,pig_blend,blend_incorporates,incorporates_blend,blend_loaded,loaded_notions,notions_cassis,cassis_dried,dried_,,,,,
Cabernet_Franc,favorite_group,group_block,block_time,time_ever,ever_killer,killer_gorgeous,gorgeous_notes,notes_blueberry,blueberry_violets,violets_lead,lead_pencil,pencil_shavings,shavings_pen,pen_ink,ink_soar,soar_glass,glass_full-bodied,full-bodied_yet,yet_strikingly,,,,
Cabernet_Franc,nice_robust,robust_beam,beam_black,black_currant,currant_fig,fig_olive,olive_flavors,flavors_briary,briary_tannins,tannins_toast,toast_tobacco,tobacco_mineral,mineral_driving,driving_finish,finish_broad-shouldered,broad-shouldered_bourgueil,,,,,,,
Cabernet_Franc,barrels_age,age_intended,intended_alliet,alliet_visited,visited_late,late_able,able_get,get_approximate,approximate_impression,impression_lies,lies_store,store_although,although_shaking,shaking_necessary,necessary_dissipate,dissipate_gas,gas_reduction,red,,,,,
Cabernet_Franc,offers_racy,racy_feel,feel_graphite,graphite_framing,framing_black,black_cherry,cherry_tobacco,tobacco_sage,sage_notes,notes_melding,melding_pleasantly,pleasantly_finish,finish_yet,yet_another,another_fantastic,fantastic_example,example_happens,happens_ca,,,,,
